Employee Id,Full Name,Department,Age,Salary,Join Date,Performance,Remote
101,Alice Johnson,IT,29.0,5500.5,2021-04-12,87.0,Yes
102,Micheal Smith,HR,35.0,4800.0,2020-01-11,73.0,No
103,Sarah Lee,Marketing,26.0,4200.75,2022-01-18,90.0,Yes
104,David Kim,IT,31.0,4800.0,2019-09-25,65.0,No
105,Unknown,Customer Care,42.0,6100.0,2018-05-07,82.0,Yes
106,John Brown,Marketing,27.0,4300.0,2021-10-14,75.0,No
107,Emma Wilson,Finance,33.0,5800.0,2019-01-12,88.0,Yes
108,Tom Davis,Marketing,30.0,5000.0,2020-03-22,82.0,Yes
109,Jane Miller,HR,30.0,4700.0,2021-05-10,79.0,Yes
110,Chris Taylor,Marketing,28.0,4400.0,2022-05-02,91.0,Yes
